Date,Timestamp,Volume,Open,High,Low,Close,EURUSD
20181205,15:45:00,3529.77998816967,1.13321,1.13424,1.13288,1.13418,EURUSD,
20181205,16:00:00,3298.68998944759,1.13419,1.13502,1.134,1.1349,EURUSD,
20181205,16:15:00,3140.92998695374,1.13491,1.13505,1.13423,1.13481,EURUSD,
20181205,16:30:00,2426.90998566151,1.13478,1.13489,1.13448,1.13466,EURUSD,
20181205,16:45:00,2760.86996769905,1.13465,1.13521,1.13465,1.13493,EURUSD,
20181205,17:00:00,1960.86998784542,1.13493,1.13509,1.13439,1.13505,EURUSD,
20181205,17:15:00,1967.2499910593,1.13504,1.13582,1.13485,1.13522,EURUSD,
20181205,17:30:00,1932.30998778343,1.13519,1.13545,1.13503,1.13514,EURUSD,
20181205,17:45:00,1715.75999617577,1.13514,1.13525,1.13488,1.13498,EURUSD,
20181205,18:00:00,1598.88999211788,1.13499,1.13539,1.13494,1.13509,EURUSD,
20181205,18:15:00,1534.50999259949,1.13509,1.13509,1.13473,1.1348,EURUSD,
20181205,18:30:00,1656.03999233246,1.1348,1.13513,1.13465,1.13477,EURUSD,
20181205,18:45:00,1574.39999318123,1.13478,1.13504,1.13449,1.13451,EURUSD,
20181205,19:00:00,1104.17999458313,1.13451,1.13463,1.13447,1.13455,EURUSD,
20181205,19:15:00,911.499996900558,1.13455,1.13476,1.13448,1.13464,EURUSD,
20181205,19:30:00,931.579996347427,1.13464,1.13478,1.13427,1.13434,EURUSD,
20181205,19:45:00,1604.02998733521,1.13433,1.13445,1.13403,1.13405,EURUSD,
20181205,20:00:00,1325.74999380112,1.13413,1.13456,1.13408,1.1342,EURUSD,
20181205,20:15:00,1107.67999458313,1.13421,1.13431,1.1341,1.13425,EURUSD,
20181205,20:30:00,1362.9299904108,1.13425,1.13425,1.13389,1.13413,EURUSD,
20181205,20:45:00,1438.55999261141,1.13412,1.13448,1.1341,1.13446,EURUSD,
20181205,21:00:00,719.159995853901,1.13446,1.13456,1.13428,1.1344,EURUSD,
20181205,21:15:00,788.29999423027,1.13439,1.1347,1.13436,1.13461,EURUSD,
20181205,21:30:00,894.299994707108,1.13462,1.13465,1.13433,1.13439,EURUSD,
20181205,21:45:00,1161.21999156475,1.1344,1.13451,1.13435,1.13443,EURUSD,
20181205,22:00:00,518.639994427562,1.13441,1.1348,1.13434,1.13452,EURUSD,
20181205,22:15:00,823.870001100004,1.13452,1.13499,1.13445,1.13458,EURUSD,
20181205,22:30:00,1011.72999742627,1.13458,1.13492,1.13446,1.13466,EURUSD,
20181205,22:45:00,1332.90998934209,1.13465,1.13495,1.13457,1.13478,EURUSD,
20181205,23:00:00,1759.0600014925,1.13475,1.13504,1.13461,1.13466,EURUSD,
20181205,23:15:00,2481.00999712944,1.13467,1.13481,1.13454,1.13457,EURUSD,
20181205,23:30:00,1379.28999447823,1.1346,1.1348,1.13454,1.13455,EURUSD,
20181205,23:45:00,1053.92999589443,1.13455,1.13493,1.13451,1.13487,EURUSD,
20181206,00:00:00,2144.15999567509,1.13487,1.13516,1.13454,1.13474,EURUSD,
20181206,00:15:00,1164.79999673367,1.13474,1.13491,1.13446,1.13485,EURUSD,
20181206,00:30:00,1174.27999925613,1.13485,1.135,1.13474,1.13484,EURUSD,
